"vertex,pagerank"
"B,0.021686801730183315"
"C,0.021314903846153848"
"D,0.021002283653846154"
"E,0.020736556490384615"
"F,0.020510688401442306"
"G,0.020318700525841345"
"H,0.020155510831580528"
"I,0.02001679959145883"
"J,0.019898895037355393"
"K,0.01979867616636747"
"L,0.019713490126027734"
"M,0.01964108199173896"
"N,0.0195795350775935"
"O,0.01952722020056986"
"P,0.019482752555099767"
"Q,0.019444955056450188"
"R,0.019412827182598045"
"S,0.019385518489823724"
"T,0.01936230610096555"
"U,0.019342575570436102"
"V,0.019325804619486072"
"X,0.019311549311178546"
"Y,0.01929943229911715"
"Z,0.01928913283886496"
"AA,0.0192803782976506"
"BB,0.019272936937618394"
"CC,0.01926661178159102"
"DD,0.019261235398967753"
"EE,0.019256665473737975"
"FF,0.019252781037292662"
"GG,0.019249479266314148"
"HH,0.01924667276098241"
"II,0.01924428723145043"
"JJ,0.01924225953134825"
"KK,0.0192405359862614"
"LL,0.019239070972937575"
"MM,0.01923782571161232"
"NN,0.019236767239485857"
"OO,0.019235867538178363"
"PP,0.019235102792066992"
"QQ,0.019234452757872327"
"RR,0.01923390022880686"
"SS,0.019233430579101214"
"TT,0.019233031376851416"
"UU,0.019232692054939087"
"VV,0.019232403631313608"
"XX,0.019232158471231952"
"YY,0.019231950085162545"
"ZZ,0.019231772957003547"
"AAA,0.019231622398068398"
"A,0.011058054903794454"
"BBB,0.011058054903794454"
